#MJD,cps,e_cps
60375.84320,1.160e-01,1.134e-01
60375.90801,1.353e-01,1.154e-01
60375.90917,1.443e-01,1.160e-01
60375.91033,1.159e-01,1.134e-01
60375.91148,5.867e-02,1.133e-01
60375.91264,7.960e-02,1.193e-01
60375.91380,9.591e-02,1.292e-01
60375.97283,1.672e-01,1.160e-01
60375.97398,8.160e-02,1.133e-01
60375.97514,-3.716e-02,1.100e-01
60375.97630,5.108e-02,1.167e-01
60375.97746,6.733e-02,1.247e-01
60376.03364,5.495e-02,1.127e-01
60376.03479,1.325e-01,1.161e-01
60376.09845,5.100e-02,1.116e-01
60376.09961,1.935e-01,1.195e-01
60376.16327,1.165e-01,1.131e-01
60376.16442,7.058e-02,1.131e-01
60376.16558,7.607e-02,1.158e-01
60376.16674,1.064e-01,1.226e-01
60376.22808,9.599e-02,1.120e-01
60376.22924,-2.828e-02,1.059e-01
60376.23040,1.568e-01,1.156e-01
60376.23155,1.512e-01,1.221e-01
60376.29174,-1.147e-02,1.084e-01
60376.29290,1.161e-01,1.133e-01
60376.29405,2.267e-01,1.182e-01
60376.35655,1.680e-02,1.064e-01
60376.35771,1.530e-01,1.136e-01
60376.42137,5.878e-02,1.082e-01
60376.42253,8.065e-02,1.087e-01
60376.48618,1.436e-01,1.114e-01
60376.48734,9.235e-02,1.086e-01
60376.55100,4.640e-02,1.062e-01
60376.55216,9.523e-02,1.074e-01
60376.55331,1.178e-01,1.076e-01
60376.55447,1.031e-01,1.090e-01
60376.55563,2.026e-01,1.157e-01
60376.55679,1.812e-01,1.199e-01
60376.55794,9.576e-02,1.222e-01
60376.55910,2.039e-01,1.359e-01
60376.61466,6.505e-02,1.119e-01
60376.61581,1.149e-01,1.089e-01
60376.61697,8.702e-02,1.059e-01
60376.61813,2.907e-01,1.174e-01
60376.61929,2.164e-01,1.147e-01
60376.67947,2.506e-01,1.196e-01
60376.68063,1.117e-02,1.037e-01
60376.68179,1.459e-01,1.104e-01
60376.68294,1.147e-01,1.090e-01
60376.68410,1.438e-01,1.113e-01
60376.74429,1.994e-01,1.170e-01
60376.74544,9.639e-02,1.119e-01
60376.74660,1.123e-01,1.100e-01
60376.74776,2.585e-01,1.164e-01
60376.74892,1.964e-01,1.183e-01
60376.75007,3.667e-02,1.129e-01
60376.75123,1.010e-01,1.249e-01
60376.75239,1.301e-01,1.372e-01
60376.80910,1.031e-01,1.140e-01
60376.81026,1.044e-01,1.134e-01
60376.81142,1.213e-01,1.111e-01
60376.81257,7.996e-02,1.090e-01
60376.81373,1.066e-01,1.125e-01
60376.81489,1.353e-01,1.199e-01
60376.81604,1.272e-01,1.284e-01
60376.81720,1.500e-01,1.409e-01
60376.87392,1.821e-01,1.195e-01
60376.87507,3.836e-01,1.262e-01
60376.87623,2.732e-01,1.198e-01
60376.87739,2.689e-01,1.216e-01
60376.87854,1.235e-01,1.151e-01
60376.87970,2.873e-01,1.281e-01
60376.88086,5.148e-02,1.268e-01
60377.00236,5.390e-02,1.132e-01
60377.00352,1.230e-01,1.153e-01
60377.00468,1.492e-01,1.188e-01
60377.00584,1.606e-01,1.238e-01
60377.00699,1.298e-01,1.223e-01
60377.00815,9.555e-02,1.274e-01
60377.00931,1.175e-01,1.327e-01
60377.01047,1.138e-01,1.445e-01
60377.13199,1.823e-01,1.194e-01
60377.13315,1.299e-01,1.223e-01
60377.13431,-2.687e-02,1.210e-01
60377.13547,1.190e-01,1.371e-01
60377.13662,5.341e-02,1.516e-01
60377.13778,1.569e-01,1.756e-01
60377.13894,5.759e-02,1.961e-01
60377.19681,6.648e+00,2.840e-01
60377.19797,6.984e+00,2.916e-01
60377.19912,7.192e+00,2.972e-01
60377.20028,7.276e+00,3.028e-01
60377.20144,8.091e+00,3.222e-01
60377.20260,8.585e+00,3.406e-01
60377.20375,9.435e+00,3.696e-01
60377.26047,1.343e+01,4.397e-01
60377.26162,1.313e+01,3.846e-01
60377.26278,1.327e+01,3.991e-01
60377.26394,1.279e+01,3.818e-01
60377.26510,1.263e+01,3.815e-01
60377.26625,1.199e+01,3.766e-01
60377.26741,1.115e+01,3.708e-01
60377.26857,1.224e+01,3.979e-01
60377.32528,1.498e+01,4.167e-01
60377.32644,1.550e+01,4.151e-01
60377.32760,1.370e+01,3.924e-01
60377.32875,1.236e+01,3.748e-01
60377.32991,1.289e+01,3.841e-01
60377.33107,1.323e+01,3.909e-01
60377.33223,1.239e+01,3.844e-01
60377.33338,1.218e+01,4.190e-01
60377.39010,1.272e+01,3.782e-01
60377.39125,1.360e+01,3.902e-01
60377.39241,1.376e+01,3.927e-01
60377.39357,1.352e+01,3.904e-01
60377.39473,1.390e+01,3.962e-01
60377.39588,1.275e+01,3.833e-01
60377.39704,1.256e+01,3.837e-01
60377.45491,4.999e+00,2.666e-01
60377.45607,4.557e+00,2.406e-01
60377.45723,4.541e+00,2.415e-01
60377.45838,4.485e+00,2.413e-01
60377.45954,4.772e+00,2.483e-01
60377.46070,4.821e+00,2.523e-01
60377.46186,4.707e+00,2.548e-01
60377.51973,1.803e+00,1.704e-01
60377.52088,1.468e+00,1.605e-01
60377.52204,1.737e+00,1.695e-01
60377.52320,1.511e+00,1.651e-01
60377.52436,1.491e+00,1.675e-01
60377.52551,1.291e+00,1.656e-01
60377.52667,1.165e+00,1.698e-01
60377.58338,4.162e-01,1.261e-01
60377.58454,3.564e-01,1.188e-01
60377.58570,3.404e-01,1.206e-01
60377.58686,3.906e-01,1.235e-01
60377.58801,2.367e-01,1.206e-01
60377.58917,4.048e-01,1.315e-01
60377.59033,4.368e-01,1.415e-01
60377.59148,3.851e-01,1.520e-01
60377.64820,2.315e-01,1.133e-01
60377.64936,9.471e-02,1.076e-01
60377.65051,2.058e-01,1.144e-01
60377.65167,1.377e-01,1.139e-01
60377.71301,2.470e-01,1.164e-01
60377.71417,1.858e-01,1.131e-01
60377.71533,1.394e-01,1.132e-01
60377.71648,2.465e-01,1.243e-01
60377.77783,2.040e-01,1.183e-01
60377.77898,1.728e-01,1.137e-01
60377.78014,1.212e-01,1.111e-01
60377.84264,1.697e-01,1.150e-01
60377.84380,2.557e-01,1.176e-01
60377.84496,2.099e-01,1.175e-01
60377.84611,1.928e-01,1.198e-01
60377.84727,1.201e-01,1.215e-01
60377.90630,1.612e-01,1.187e-01
60377.90746,1.812e-01,1.150e-01
60377.90861,1.174e-01,1.127e-01
60377.90977,2.184e-01,1.187e-01
60377.91093,2.548e-02,1.128e-01
60377.91209,2.247e-01,1.296e-01
60377.97111,2.463e-01,1.214e-01
60377.97227,2.756e-01,1.235e-01
60377.97343,1.824e-01,1.193e-01
60377.97459,1.792e-01,1.256e-01
60377.97574,2.023e-01,1.303e-01
60377.97690,2.235e-01,1.397e-01
60378.03561,2.009e-01,1.256e-01
60378.03676,1.552e-01,1.261e-01
60378.03792,9.780e-02,1.314e-01
60378.03908,4.348e-02,1.355e-01
60378.10389,1.785e-01,1.557e-01
60378.10505,8.849e-02,1.713e-01
60378.10621,1.628e-01,1.931e-01
60378.10736,8.991e-02,2.118e-01
60378.16755,6.561e-02,1.368e-01
60378.16871,9.768e-03,1.459e-01
60378.16986,1.590e-01,1.746e-01
60378.17102,1.393e-01,2.092e-01
60378.17218,1.950e-01,2.407e-01
60378.23236,6.930e-02,1.238e-01
60378.23352,1.222e-01,1.407e-01
60378.23468,1.748e-01,1.624e-01
60378.23584,1.572e-02,1.899e-01
60378.29718,8.926e-02,1.200e-01
60378.29834,2.369e-01,1.350e-01
60378.29949,7.001e-02,1.440e-01
60378.30065,1.393e-01,1.684e-01
60378.35852,1.328e-01,1.133e-01
60378.35968,7.756e-02,1.100e-01
60378.36084,3.915e-02,1.118e-01
60378.36199,1.794e-01,1.206e-01
60378.36315,2.326e-01,1.320e-01
60378.36431,1.630e-01,1.376e-01
60378.36547,5.279e-02,1.519e-01
60378.42565,1.906e-01,1.203e-01
60378.42681,9.661e-02,1.168e-01
60378.42797,1.770e-01,1.265e-01
60378.42912,3.169e-02,1.306e-01
60378.43028,1.808e-01,1.491e-01
60378.48815,7.176e-02,1.092e-01
60378.48931,1.818e-01,1.187e-01
60378.49047,7.457e-02,1.164e-01
